time,M,A,Ti,Ts
0,0.20,0.50,400,380
2,0.23,0.55,410,388
4,0.26,0.60,420,396
6,0.29,0.65,430,404
8,0.32,0.70,440,412
10,0.35,0.75,450,420
12,0.38,0.80,460,428
14,0.41,0.85,470,436
16,0.44,0.90,480,444
18,0.47,0.95,490,452
20,0.50,1.00,500,460
22,0.53,1.05,510,468
24,0.56,1.10,520,476
26,0.59,1.15,530,484
28,0.62,1.20,540,492
30,0.65,1.25,550,500
32,0.68,1.30,555,505
34,0.71,1.35,560,510
36,0.74,1.40,565,515
38,0.77,1.45,570,520
40,0.80,1.50,575,525
42,0.83,1.55,580,530
44,0.86,1.60,585,535
46,0.89,1.65,590,540
48,0.92,1.70,595,545
50,0.95,1.75,600,550
52,0.98,1.80,605,555
54,1.01,1.85,610,560
56,1.04,1.90,615,565
58,1.07,1.95,620,570
60,1.10,2.00,625,575
62,1.13,2.05,630,580
64,1.16,2.10,635,585
66,1.19,2.15,640,590
68,1.22,2.20,645,595
70,1.25,2.25,650,600
72,1.28,2.30,652,602
74,1.31,2.35,654,604
76,1.34,2.40,656,606
78,1.37,2.45,658,608
80,1.40,2.50,660,610
82,1.43,2.55,662,612
84,1.46,2.60,664,614
86,1.49,2.65,666,616
88,1.52,2.70,668,618
90,1.55,2.75,670,620
92,1.58,2.80,672,622
94,1.61,2.85,674,624
96,1.64,2.90,676,626
98,1.67,2.95,678,628
100,1.70,3.00,680,630
102,1.73,3.05,682,632
104,1.76,3.10,684,634
106,1.79,3.15,686,636
108,1.82,3.20,688,638
110,1.85,3.25,690,640
112,1.88,3.30,692,642
114,1.91,3.35,694,644
116,1.94,3.40,696,646
118,1.97,3.45,698,648
120,2.00,3.50,700,650
