time,M,A,Ti,Ts
0,0.30,0.50,380,360
2,0.34,0.56,390,368
4,0.38,0.62,400,376
6,0.42,0.68,410,384
8,0.46,0.74,420,392
10,0.50,0.80,430,400
12,0.54,0.86,440,408
14,0.58,0.92,450,416
16,0.62,0.98,460,424
18,0.66,1.04,470,432
20,0.70,1.10,480,440
22,0.74,1.16,490,448
24,0.78,1.22,500,456
26,0.82,1.28,510,464
28,0.86,1.34,520,472
30,0.90,1.40,530,480
32,0.94,1.46,540,488
34,0.98,1.52,550,496
36,1.02,1.58,560,504
38,1.06,1.64,570,512
40,1.10,1.70,580,520
42,1.14,1.76,590,528
44,1.18,1.82,600,536
46,1.22,1.88,605,541
48,1.26,1.94,610,546
50,1.30,2.00,615,551
52,1.34,2.06,620,556
54,1.38,2.12,625,561
56,1.42,2.18,630,566
58,1.46,2.24,632,568
60,1.50,2.30,635,570
62,1.47,2.26,630,566
64,1.44,2.22,625,562
66,1.41,2.18,620,558
68,1.38,2.14,615,554
70,1.35,2.10,610,550
72,1.32,2.06,605,546
74,1.29,2.02,600,542
76,1.26,1.98,595,538
78,1.23,1.94,590,534
80,1.20,1.90,585,530
82,1.17,1.86,580,526
84,1.14,1.82,575,522
86,1.11,1.78,570,518
88,1.08,1.74,565,514
90,1.05,1.70,560,510
92,1.02,1.66,555,506
94,0.99,1.62,550,502
96,0.96,1.58,545,498
98,0.93,1.54,540,494
100,0.90,1.50,535,490
102,0.87,1.46,530,486
104,0.84,1.42,525,482
106,0.81,1.38,520,478
108,0.78,1.34,515,474
110,0.75,1.30,510,470
112,0.72,1.26,505,466
114,0.69,1.22,500,462
116,0.66,1.18,495,458
118,0.63,1.14,490,454
120,0.60,1.10,485,450
