time,M,A,Ti,Ts
0,0.50,1.00,450,420
2,0.525,1.05,460,428
4,0.55,1.10,470,436
6,0.575,1.15,480,444
8,0.60,1.20,490,452
10,0.625,1.25,500,460
12,0.65,1.30,510,468
14,0.675,1.35,520,476
16,0.70,1.40,530,484
18,0.725,1.45,540,492
20,0.75,1.50,550,500
22,0.775,1.55,560,508
24,0.80,1.60,570,516
26,0.825,1.65,580,524
28,0.85,1.70,590,532
30,0.875,1.75,600,540
32,0.90,1.80,610,548
34,0.925,1.85,620,556
36,0.95,1.90,630,564
38,0.975,1.95,640,572
40,1.00,2.00,650,580
42,1.025,2.05,660,588
44,1.05,2.10,670,596
46,1.075,2.15,680,604
48,1.10,2.20,690,612
50,1.125,2.25,700,620
52,1.15,2.30,710,628
54,1.175,2.35,720,636
56,1.20,2.40,730,644
58,1.225,2.45,740,652
60,1.25,2.50,750,660
62,1.275,2.55,758,666
64,1.30,2.60,766,672
66,1.325,2.65,774,678
68,1.35,2.70,782,684
70,1.375,2.75,790,690
72,1.40,2.80,798,696
74,1.425,2.85,806,702
76,1.45,2.90,814,708
78,1.475,2.95,822,714
80,1.50,3.00,830,720
82,1.525,3.05,836,726
84,1.55,3.10,842,732
86,1.575,3.15,848,738
88,1.60,3.20,854,744
90,1.625,3.25,860,750
92,1.65,3.30,866,756
94,1.675,3.35,872,762
96,1.70,3.40,878,768
98,1.725,3.45,884,774
100,1.75,3.50,890,780
102,1.775,3.55,895,785
104,1.80,3.60,900,790
106,1.825,3.65,905,795
108,1.85,3.70,910,800
110,1.875,3.75,915,805
112,1.90,3.80,920,810
114,1.925,3.85,925,815
116,1.95,3.90,930,820
118,1.975,3.95,935,825
120,2.00,4.00,940,830
